instance_id,dialogue_id,turn_id,system_context,user_utterance,label,annotator_id,annotation_pass,notes
mw22_PMUL3101.json_10,PMUL3101.json,10,What day would you like to travel and when do you want to leave?,I would like to leave on Wednesday and the train should leave after 09:00.,,adesanym,reannotation,
mw22_SSNG0233.json_8,SSNG0233.json,8,Sorry no rooms available. How about another hotel?,Can you try another hotel in the same price range?,,adesanym,reannotation,
mw22_MUL1083.json_10,MUL1083.json,10,"The cherry hinton water play park is at cherry hinton hall, cherry hinton road, cb18dw, it is free to enter.Phone number 01223446100. Can I help you with anything else?",Yes I also need a taxi to commute between the two.,,adesanym,reannotation,
mw22_MUL1543.json_6,MUL1543.json,6,I'm sorry. That time is unavailable as well.,Can you help me find a train going to Stevenage and leaving Thursday instead?,,adesanym,reannotation,
mw22_PMUL2939.json_4,PMUL2939.json,4,It is located at 53-57 Lensfield Road.,Can I get the postal code for that hotel?,,adesanym,reannotation,
mw22_PMUL3955.json_4,PMUL3955.json,4,TR5517 will leave at 08:01 and arrive by 09:01. Would you like to book seats?,"That's leaving from Cambridge, right? If so, then yes, book me one seat, and give me the reference number, thanks!",,adesanym,reannotation,
mw22_PMUL0373.json_20,PMUL0373.json,20,"I booked you at cityroomz your confirmation number is MM913RGM, anything else today?","Please have a taxi take me from my hotel to the restaurant, arriving in time for my reservation. And give me the booking info",,adesanym,reannotation,
mw22_SNG1397.json_4,SNG1397.json,4,There are 5 located in the centre. Would you prefer one that is free?,Sure! Which one do you recommend?,,adesanym,reannotation,
mw22_MUL2397.json_12,MUL2397.json,12,How about Queen's College? It is on the west side of town. The phone number is 01223335511 and address is Silver Street.,Yes! I would also like to book a taxi.,,adesanym,reannotation,
mw22_MUL0280.json_14,MUL0280.json,14,You're quite welcome! Is there anything else I can help you with today?,"No, that'll be all. Thank you, again.",,adesanym,reannotation,
mw22_PMUL0900.json_6,PMUL0900.json,6,It appears that the Curry Garden meets your needs! Would you like me to book that for you?,"Yes, please make reservations for 5 people at 16:45 on Monday.",,adesanym,reannotation,
mw22_PMUL2446.json_8,PMUL2446.json,8,"They is no phone information given, can I help with anything else?","Yes, i am looking for places to visit on the east side of town.",,adesanym,reannotation,
mw22_SSNG0174.json_2,SSNG0174.json,2,I have 33 restaurants that meet that criteria. Is there a certain type of food you are looking for?,I want one that serves light bites.,,adesanym,reannotation,
mw22_MUL2379.json_6,MUL2379.json,6,I'm sorry neither restaurant has an available table would you like to try another day or time?,Can you try another restaurant?,,adesanym,reannotation,
mw22_MUL1457.json_14,MUL1457.json,14,Do you need help with anything else?,"I'm good, thanks for your help!",,adesanym,reannotation,
mw22_MUL2114.json_16,MUL2114.json,16,What day would you like to book the hotel and how long will your stay be?,On second thought I just wanted to find a hotel in the south area. Thanks so much for your help!,,adesanym,reannotation,
mw22_MUL1128.json_12,MUL1128.json,12,Milton Country Park in north and it is free to use.,May I have the phone number for the park please?,,adesanym,reannotation,
mw22_PMUL2993.json_2,PMUL2993.json,2,it is located in the east and 2 star rated. has both internet and parking. it is expensive. you can reach them on 01223866800.its postal code is cb13Ih located in 15-17 norman way coldharms business park,"I want to book 3 nights there, please.",,adesanym,reannotation,
mw22_PMUL0257.json_12,PMUL0257.json,12,"Sure, what type of restaurant are you looking for?",I need something moderately priced in the centre. What would you recommend?,,adesanym,reannotation,
mw22_PMUL4048.json_4,PMUL4048.json,4,"Cineworld Cinema in the south side is located at Cambridge Leisure Park, Clifton Way CB17DY and their phone number is 00872208000. Is there any other information I can get you?",What's the postcode and enterance fee?,,adesanym,reannotation,
mw22_SNG0947.json_2,SNG0947.json,2,I have 17 hotels in the moderate range that offer internet access. Do you have a particular part of town you wish to stay in?,I prefer the eastern part of town and something that is 4-star rated.,,adesanym,reannotation,
mw22_MUL1112.json_2,MUL1112.json,2,OK. There are four different boats to choose from. What area of town were you thinking?,It doesn't really matter. Can you recommend one?,,adesanym,reannotation,
mw22_MUL0067.json_12,MUL0067.json,12,"Yes, I have found three restaurants matching your inquest.",I would like the one closest to the alexander bed and breakfast please.,,adesanym,reannotation,
mw22_PMUL1822.json_8,PMUL1822.json,8,"There are many places to stay, could you give me some preferences to find the best one for you?","Three stars, moderate price range.",,adesanym,reannotation,
mw22_SSNG0258.json_2,SSNG0258.json,2,"There are 32 hotels/guesthouses that offer free wifi, do you want to stay on a specific side of town, or a specific amenity you want?",I would like to be in the south and I prefer a guesthouse.,,adesanym,reannotation,
mw22_MUL1605.json_4,MUL1605.json,4,I have 4 modern european restaurants in the center of town. I recommend the Riverside Brasserie.,What is the postcode of that resturant?,,adesanym,reannotation,
mw22_MUL1248.json_6,MUL1248.json,6,"Yes, there are 3: bridge guest house, hamilton lodge, and hobsons house.",How about the bridge guest house for 5 people for 2 nights starting on tuesday?,,adesanym,reannotation,
mw22_MUL1643.json_14,MUL1643.json,14,What day and time would you like travel?,I would like to leave Wednesday after 20:00.,,adesanym,reannotation,
mw22_SNG0842.json_6,SNG0842.json,6,Rosa's bed and breakfast is a guesthouse in the south area that meets your preferences. Would you like me to make a reservation for you?,"Yes, that will work.",,adesanym,reannotation,
mw22_PMUL2222.json_8,PMUL2222.json,8,Booking was successful. The table will be reserved for 15 minutes.Reference number is : GW3LQPRE .,I also need the area and address of an attraction called Old Schools please.,,adesanym,reannotation,
mw22_PMUL2750.json_2,PMUL2750.json,2,There are lots of fun places in town. What would you like to do today?,It does not really matter can you suggest one?,,adesanym,reannotation,
mw22_PMUL4392.json_2,PMUL4392.json,2,Would you like to look into a hotel?,"uhm, no. that's your job, weirdo. also, i need a train.",,adesanym,reannotation,
mw22_PMUL1974.json_10,PMUL1974.json,10,How many tickets are you needing?,"I'm sorry, I just needed the train info. However, I need a place to stay in the North preferably with parking. Can you assist?",,adesanym,reannotation,
mw22_WOZ20545.json_4,WOZ20545.json,4,"I'm sorry, there are no restaurants listed serving Christmas food. Would you like to try a different kind of food?",How about british food?,,adesanym,reannotation,
mw22_PMUL0052.json_18,PMUL0052.json,18,Okay. I've booked a taxi for you. It'll be a yellow lexus and the contact number is 07801886354,Thank you. That is all I need.,,adesanym,reannotation,
mw22_PMUL4625.json_4,PMUL4625.json,4,Castle Galleries is located in the centre of town and are free to enter.,"OK, that sounds great. I also need a train to get me to Cambridge.",,adesanym,reannotation,
mw22_MUL2113.json_2,MUL2113.json,2,"Certainly! First, can you confirm the day you are traveling and the destination you are traveling to?",I'll be going to Cambridge on Saturday.,,adesanym,reannotation,
mw22_PMUL1436.json_14,PMUL1436.json,14,Okay your train reference number is YXCN2XHO . Is there anything else you need?,"No that's all for today, thank you.",,adesanym,reannotation,
mw22_MUL1372.json_8,MUL1372.json,8,Yes they do.,What is the star of the hotel?,,adesanym,reannotation,
mw22_PMUL3537.json_10,PMUL3537.json,10,What area would you like to be in?,"I don't know the city, so I don't really care about the location within town. Can you recommend an area?",,adesanym,reannotation,
