instance_id,dialogue_id,turn_id,system_context,user_utterance,annotator_id,annotation_pass,source_annotator_id,label,notes,workbook
mw22_MUL0125.json_16,MUL0125.json,16,"I'd be happy to help you book a taxi, what hotel is your destination?",Whatever hotel you booked me at. The reference number is: GXQZCBL8,adesanym,initial,,CONFIRM_ACCEPT,Ambiguous mixed intent; selected CONFIRM_ACCEPT via tie break order. Also considered: REQUEST.,adesanym_annotation.xlsx
mw22_SNG01619.json_4,SNG01619.json,4,How about train TR8373 that leaves at 21:39?,its ok. book for 8 people and help me get the reference number please,adesanym,initial,,CONFIRM_ACCEPT,Ambiguous mixed intent; selected CONFIRM_ACCEPT via tie break order. Also considered: INFORM_CONSTRAINT.,adesanym_annotation.xlsx
mw22_MUL1119.json_4,MUL1119.json,4,The Archway house matches all of your preferences. Would you like me to create a booking?,"Yes, that would be great. I would like my check-in to be on Saturday. I will be staying for 2 nights and there will be a total of 5 people.",adesanym,initial,,CONFIRM_ACCEPT,Ambiguous mixed intent; selected CONFIRM_ACCEPT via tie break order. Also considered: INFORM_CONSTRAINT.,adesanym_annotation.xlsx
mw22_SNG1229.json_2,SNG1229.json,2,It is listed in the cheap price range.,Thank you. That's all I needed.,adesanym,initial,,SOCIAL,,adesanym_annotation.xlsx
mw22_PMUL3163.json_8,PMUL3163.json,8,I've booked a table for seven at yu garden. Your reservation is at 15:00 on Wednesday. Your reference number is 799F0AEG . Can I help you with anything else?,"Yes, I'll also need a taxi that will take me between the two places. I'll need to arrive at the restaurant by 15:00.",adesanym,initial,,CONFIRM_ACCEPT,Ambiguous mixed intent; selected CONFIRM_ACCEPT via tie break order. Also considered: INFORM_CONSTRAINT.,adesanym_annotation.xlsx
mw22_WOZ20122.json_2,WOZ20122.json,2,There are several British restaurants. Do you have a price range in mind?,I have no preference. can i please have the address and phone number of one of them ?,adesanym,initial,,REQUEST,,adesanym_annotation.xlsx
mw22_MUL2027.json_6,MUL2027.json,6,The ticket costs 10.10 pounds and the ride takes 38 minutes. Do you want me to book the train for you?,What time does the train arrive in Bishops Stortford? I also am looking for a place to stay that is 3 stars and in the moderate range.,adesanym,initial,,CONFIRM_ACCEPT,"Ambiguous mixed intent; selected CONFIRM_ACCEPT via tie break order. Also considered: REQUEST, INFORM_CONSTRAINT.",adesanym_annotation.xlsx
mw22_PMUL2460.json_6,PMUL2460.json,6,I have cotto that serves moderate priced food. Would you like to book a table?,Yes please make a booking for 8 people at 12:30 on friday.,adesanym,initial,,CONFIRM_ACCEPT,Ambiguous mixed intent; selected CONFIRM_ACCEPT via tie break order. Also considered: INFORM_CONSTRAINT.,adesanym_annotation.xlsx
mw22_PMUL4324.json_10,PMUL4324.json,10,bridge guest house has a 3 star rating and is at 151 hills road,"Is Bridge Guest House in the south? If so, I will also need a taxi to take me from the restaurant to the guesthouse.",adesanym,initial,,REQUEST,,adesanym_annotation.xlsx
mw22_PMUL3239.json_6,PMUL3239.json,6,"We have many trains departing Cambridge, where is your destination?",I would like to go to London Liverpool Street. Could you check the price for me?,adesanym,initial,,REQUEST,,adesanym_annotation.xlsx
mw22_PMUL0966.json_2,PMUL0966.json,2,There are 70 trains traveling to Ely from Cambridge between Friday and Wednesday. What day do you want to travel?,I would like to leave on Saturday.,adesanym,initial,,INFORM_CONSTRAINT,,adesanym_annotation.xlsx
mw22_WOZ20245.json_2,WOZ20245.json,2,"unfortunately, no Caribbean restaurants can be found in the south of town. can i help you with something else?",Is there an italian restaurant in the south part of town?,adesanym,initial,,REQUEST,,adesanym_annotation.xlsx
mw22_PMUL0527.json_4,PMUL0527.json,4,There are 10 results. What time would you like to leave or arrive by?,I would like to leave after 12:30 please.,adesanym,initial,,REQUEST,Ambiguous mixed intent; selected REQUEST via tie break order. Also considered: INFORM_CONSTRAINT.,adesanym_annotation.xlsx
mw22_SNG0271.json_2,SNG0271.json,2,Where are you looking to depart from?,I'm leaving from Peterborough.,adesanym,initial,,CORRECT_CLARIFY,Ambiguous mixed intent; selected CORRECT_CLARIFY via tie break order. Also considered: CONFIRM_ACCEPT.,adesanym_annotation.xlsx
mw22_MUL0548.json_6,MUL0548.json,6,The postal code is cb13ef. Would you like for me to get you tickets?,No that's all I needed with that. i also need a train leaving after 12:15 heading to kings lynn.,adesanym,initial,,INFORM_CONSTRAINT,,adesanym_annotation.xlsx
mw22_SNG0889.json_4,SNG0889.json,4,"I'm sorry, but there are no hotels in the west part of town that have 4 stars and are moderately priced. Can I look for something different for you?","Yes, how about moderately priced places to stay with 4 stars in the North? I also need free parking.",adesanym,initial,,REQUEST,Ambiguous mixed intent; selected REQUEST via tie break order. Also considered: CONFIRM_ACCEPT.,adesanym_annotation.xlsx
