instance_id,dialogue_id,turn_id,system_context,user_utterance,label,annotator_id,annotation_pass,notes
mw22_PMUL0213.json_2,PMUL0213.json,2,I have many options. Do you have a preference for the area you would like to stay in.,"The area doesn't matter. I would like free wifi though, if possible.",,,initial,
mw22_PMUL1302.json_2,PMUL1302.json,2,Okay we have a lot of trains departing on Saturday. Where are you headed and where are you departing from?,I am going to Cambridge and leaving from Stevenage.,,,initial,
mw22_MUL0946.json_6,MUL0946.json,6,Restaurant Alimentum in modern European moderately priced in the south. Would you like for me to book it?,"No but I would like their phone number, address and postcode.",,,initial,
mw22_PMUL4917.json_14,PMUL4917.json,14,"There are 13 colleges to visit in the city centre. If I may recommend something, Gonville and Caius College is quite lovely this time of year, and their entrance fee is free.",Great. Can you get me a taxi to the college.,,,initial,
mw22_PMUL0041.json_16,PMUL0041.json,16,Where do you want to be picked up?,Picked up at the hotel and sent to the restaurant by the booking time please.,,,initial,
mw22_PMUL3737.json_10,PMUL3737.json,10,I see there are 5 colleges on the west side of town. There are 3 that are free to visit and 2 with entrance fees.,"Ok, can you recommend one and give me their phone number",,,initial,
mw22_PMUL4650.json_6,PMUL4650.json,6,What day will you travel?,I'll be leaving on Tuesday,,,initial,
mw22_MUL0044.json_10,MUL0044.json,10,"Before we make your restaurant reservation, let's take care of the hotel. What day are you arriving, how many nights are you staying, and how many people?",It's just me. I am arriving Sunday and staying one night. Can you provide the phone number for the restaurant?,,,initial,
mw22_SNG01427.json_6,SNG01427.json,6,"I have confirmed you booking, a yellow volvo will pick you up.","What is the contact number, please?",,,initial,
mw22_PMUL1890.json_4,PMUL1890.json,4,"No, that one leaves on Friday. TR9219 leaves Sunday at 5:29 and arrives in Cambridge by 6:07. Would you like to book a seat?",Yes please book a seat and send me a reference number.,,,initial,
mw22_MUL2589.json_4,MUL2589.json,4,"Yes, it does have free parking.",Please give me information on the star rating and their number.,,,initial,
mw22_PMUL3744.json_8,PMUL3744.json,8,Sure where are you travelling from and at what time do you wish to travel?,I want to leave after 17:30 and depart out of Cambridge.,,,initial,
mw22_PMUL2719.json_8,PMUL2719.json,8,"Booking was successful, your reference number is : LD7UDV9Z . Do you need any further assistance today?","Yes, one more thing. We need a taxi that will take us from Clare Hall to our guesthouse.",,,initial,
mw22_WOZ20545.json_4,WOZ20545.json,4,"I'm sorry, there are no restaurants listed serving Christmas food. Would you like to try a different kind of food?",How about british food?,,,initial,
mw22_SSNG0211.json_18,SSNG0211.json,18,I have made a booking and it went through. Your Reference number is : AEBKVJV3 .,"Yes, and please give me the reference number.",,,initial,
mw22_PMUL0900.json_6,PMUL0900.json,6,It appears that the Curry Garden meets your needs! Would you like me to book that for you?,"Yes, please make reservations for 5 people at 16:45 on Monday.",,,initial,
mw22_PMUL3343.json_2,PMUL3343.json,2,"Sure thing, here is the address 156 chesterton road",Thanks! Can you book a room for 5 people please? We'll be arriving on Monday and staying 5 nights.,,,initial,
mw22_MUL0120.json_16,MUL0120.json,16,Certainly. I have booked your taxi. Anything else I can help with today?,Please provide me the contact number and car type for the taxi. It will be at the restaurant by 14:00?,,,initial,
mw22_PMUL2259.json_8,PMUL2259.json,8,Yes. How many people in your party and when would you like this for?,"There are 5 people, and we'd like it for Friday at 18:15",,,initial,
mw22_MUL2098.json_4,MUL2098.json,4,"The TR1502 puts you in London Kings Cross at 11:51, will that work for you?","Yes, please book that for 5 people.",,,initial,
mw22_MUL1364.json_2,MUL1364.json,2,I have some moderately priced guesthouses and some expensive hotels that meet your needs. Do you have a preference?,"Actually, I don't have a lot to spend. Do you have anything in a cheap price range?",,,initial,
mw22_MUL1298.json_4,MUL1298.json,4,Ok I have the Hobsons House on 96 barton road . Would you like me to book you a reservation ?,"Yes, that works. May i have the address?",,,initial,
mw22_PMUL0275.json_4,PMUL0275.json,4,I have 5 restaurants that match what you're looking for. Would you like to try Tandoori Palace? Its located at 68 Histon Road Chesteron.,"Sure, can I get a reservation for Sunday at 16:15? I will need a table for 3.",,,initial,
