instance_id,dialogue_id,turn_id,system_context,user_utterance,label_option_a,annotator_a,annotation_pass_a,label_option_b,annotator_b,annotation_pass_b,recommended_label,rationale,status
mw22_MUL0125.json_16,MUL0125.json,16,"I'd be happy to help you book a taxi, what hotel is your destination?",Whatever hotel you booked me at. The reference number is: GXQZCBL8,CONFIRM_ACCEPT,adesanym,initial,INFORM_CONSTRAINT,zajkeskn,reannotation,INFORM_CONSTRAINT,Provides the hotel destination detail needed for the taxi request rather than accepting a proposal.,owner_adjudicated_pending_team_ratification
mw22_MUL1119.json_4,MUL1119.json,4,The Archway house matches all of your preferences. Would you like me to create a booking?,"Yes, that would be great. I would like my check-in to be on Saturday. I will be staying for 2 nights and there will be a total of 5 people.",CONFIRM_ACCEPT,adesanym,initial,INFORM_CONSTRAINT,zajkeskn,reannotation,CONFIRM_ACCEPT,"Explicitly accepts the booking proposal before adding stay details, so acceptance remains dominant.",owner_adjudicated_pending_team_ratification
mw22_PMUL3163.json_8,PMUL3163.json,8,I've booked a table for seven at yu garden. Your reservation is at 15:00 on Wednesday. Your reference number is 799F0AEG . Can I help you with anything else?,"Yes, I'll also need a taxi that will take me between the two places. I'll need to arrive at the restaurant by 15:00.",CONFIRM_ACCEPT,adesanym,initial,REQUEST,zajkeskn,reannotation,REQUEST,Starts a new taxi task and asks the system to arrange it; the arrival time is supporting detail.,owner_adjudicated_pending_team_ratification
mw22_MUL0121.json_6,MUL0121.json,6,There are a few cheap restaurants in the center of the city. Would you like Asian Oriental or Chinese food?,I would like Chinese food.,SOCIAL,adesanym,initial,INFORM_CONSTRAINT,zajkeskn,reannotation,INFORM_CONSTRAINT,Answers the cuisine-choice question by supplying a preference rather than ending the exchange socially.,owner_adjudicated_pending_team_ratification
mw22_SSNG0074.json_4,SSNG0074.json,4,I have found a few British restaurants in your price range. Do you want a specific part of town?,"No, could you recommend me a place? I'm looking for to book a table for 2 on Thursday at 11:30.",REQUEST,adesanym,initial,CORRECT_CLARIFY,zajkeskn,reannotation,REQUEST,The user declines a sub-question about area and asks for a recommendation plus a booking.,owner_adjudicated_pending_team_ratification
mw22_MUL2418.json_2,MUL2418.json,2,I'd be happy to help you with all things Cambridge. What can I help you find today?,"I'd like to find a restaurant called Cotto, please.",REQUEST,adesanym,initial,INFORM_CONSTRAINT,zajkeskn,reannotation,REQUEST,"Asks the system to find a specific restaurant by name, which is a direct search request.",owner_adjudicated_pending_team_ratification
mw22_MUL1284.json_4,MUL1284.json,4,"I found cheap guesthouses, is guesthouse what you are looking for?","I'd prefer a hotel, rather than a guesthouse.",CORRECT_CLARIFY,adesanym,initial,INFORM_CONSTRAINT,zajkeskn,reannotation,CORRECT_CLARIFY,"Corrects the offered lodging type from guesthouse to hotel, and correction takes precedence.",owner_adjudicated_pending_team_ratification
mw22_PMUL0719.json_12,PMUL0719.json,12,The Ugly Duckling is located at 12 St. Johns Street City Centre and their postcode is cb21tw. Can I assist you with anything further?,"Thank you. I also want a train for friday, from broxbourne to cambridge",INFORM_CONSTRAINT,adesanym,initial,REQUEST,zajkeskn,reannotation,REQUEST,Introduces a new train search task; the day and route are details attached to that request.,owner_adjudicated_pending_team_ratification
mw22_PMUL3246.json_6,PMUL3246.json,6,Reference number is 29IN9CT3 for the acorn guesthouse.,I would also like to eat somewhere cheap in the middle of town.,REQUEST,adesanym,initial,INFORM_CONSTRAINT,zajkeskn,reannotation,REQUEST,Starts a new restaurant-finding request while also specifying cheap and central constraints.,owner_adjudicated_pending_team_ratification
mw22_MUL0870.json_2,MUL0870.json,2,There are several attractions in the town centre. Are you looking for a particular type?,"Yes, please find any museums in the town centre.",CONFIRM_ACCEPT,adesanym,initial,CORRECT_CLARIFY,zajkeskn,reannotation,REQUEST,"The core act is asking the system to find museums, not merely confirming the previous turn.",owner_adjudicated_pending_team_ratification
